Date,Precipitation,Runoff,Minimum temperature,Maximum temperature,Soil moisture,Vegetation growth,Vegetation leaf area,VPeff,Uavg,SRAD
2018-01-01,1.04429,0.0110800965,13.66,28.9,186.26787,1.3376391,1.11,12.09314,2.9214365,30.540792
2018-01-02,0.0,,13.84,29.45,,,,12.036422,3.9864345,30.518217
2018-01-03,0.0029319883,,14.85,27.02,,,,12.660381,3.2794008,29.722675
2018-01-04,0.0,,14.12,28.73,,,,14.086935,2.3806546,29.988888
2018-01-05,0.0,,15.89,32.18,,,,13.943236,2.853089,30.646097
2018-01-06,0.0,,23.38,36.77,,,,13.076878,4.486998,30.726463
2018-01-07,0.0,,23.64,39.84,,,,13.590022,4.3595896,25.520956
2018-01-08,3.7022407,,20.68,34.11,,,,19.016827,3.173695,20.859882
2018-01-09,1.078563,0.008264483,14.96,29.97,181.75244,1.8223406,1.15,19.325508,3.6313217,22.691473
2018-01-10,1.022877,,17.18,28.33,,,,15.38338,4.159499,25.584438
2018-01-11,0.0039580655,,20.99,31.32,,,,18.516758,2.8972418,28.791643
2018-01-12,0.0,,18.06,34.7,,,,18.36353,4.594118,25.228382
2018-01-13,5.6737714,,9.65,24.06,,,,10.888636,5.9620256,14.202076
2018-01-14,1.5189673,,10.36,23.78,,,,8.360072,3.6920261,26.753662
2018-01-15,0.0,,13.5,26.58,,,,10.670309,4.344516,29.578516
2018-01-16,0.0,,11.22,26.38,,,,8.2884035,3.987322,29.078985
2018-01-17,0.0,0.0052404697,10.58,28.36,172.02608,0.8722616,1.05,7.2706413,2.1700542,30.121574
2018-01-18,0.56961274,,12.92,32.05,,,,8.93368,1.9402303,30.173977
2018-01-19,0.0,,16.09,35.79,,,,8.55083,2.8035278,30.110188
2018-01-20,0.0,,17.78,37.92,,,,7.1457953,3.567469,30.040232
2018-01-21,0.0,,20.66,37.74,,,,7.884415,3.556931,29.956917
2018-01-22,0.0,,24.93,36.33,,,,11.46214,3.505981,28.214851
2018-01-23,1.1528004,,23.28,34.85,,,,13.711099,3.4273658,23.281654
