Date,Precipitation,Runoff,Minimum temperature,Maximum temperature,Soil moisture,Vegetation leaf area,VPeff,Uavg,SRAD
2019-01-01,0.12322344,0.002110938,21.62,34.980000000000004,124.44635,0.68,14.067156,2.479833,30.748455
2019-01-02,0.18987091,,20.97,36.12,,,14.125284,3.0628135,25.60141
2019-01-03,1.8709512,,21.34,35.550000000000004,,,15.246248,2.6856332,28.753633
2019-01-04,0.008223168,,26.69,37.03,,,14.510267,4.707917,30.278505
2019-01-05,0.0,,14.0,35.22,,,16.267,5.04905,25.32137
2019-01-06,3.885961,,16.03,27.3,,,13.790466,4.977429,27.161282
2019-01-07,0.0,,19.18,27.67,,,19.22982,3.3493655,20.29268
2019-01-08,6.7280507,,17.45,30.14,,,19.57615,3.656273,21.284893
2019-01-09,7.926593,0.08246666,17.29,31.07,161.27008,0.78,14.171529,3.619318,27.683716
2019-01-10,0.85441905,,18.78,31.35,,,15.294982,3.6845648,27.753065
2019-01-11,4.93729,,16.96,30.24,,,21.551857,3.851011,24.475794
2019-01-12,49.079327,,20.68,34.160000000000004,,,16.742538,3.450507,28.298586
2019-01-13,0.0,,19.77,34.68,,,19.096233,4.7242985,28.730284
2019-01-14,0.82101846,,24.12,36.65,,,16.642292,3.8133254,29.858335
2019-01-15,0.00084329036,,22.12,39.7,,,13.032475,3.3390937,30.24297
2019-01-16,0.046442162,,22.17,39.29,,,12.557091,3.2364254,30.110924
2019-01-17,0.0,0.016620724,24.2,41.17,170.09239,0.88,13.823003,5.3281584,26.884817
2019-01-18,0.7029555,,23.83,40.17,,,15.012835,4.602843,23.916128
2019-01-19,2.6204522,,18.75,34.69,,,16.516415,3.993553,27.146708
2019-01-20,0.019285342,,20.7,34.25,,,17.47936,3.0612047,28.903519
2019-01-21,3.9896117e-05,,20.92,33.5,,,16.494625,3.163027,29.141598
2019-01-22,0.00042584699,,23.16,35.97,,,16.957829,2.529553,29.563364
2019-01-23,0.025064578,,18.07,37.48,,,16.132244,4.30748,25.060347
2019-01-24,1.3619152,,21.05,33.45,,,19.771637,3.060249,27.262663
2019-01-25,0.0,0.008150506,26.12,38.61,166.46655,0.87,17.410847,3.558735,29.265772
2019-01-26,1.04429,,24.7,40.65,,,13.882384,3.043303,24.455032
2019-01-27,9.983604,,21.06,29.75,,,16.754803,2.5817926,22.599657
2019-01-28,0.3317874,,20.02,28.02,,,21.985779,3.3049462,16.399809
2019-01-29,0.118501395,,23.49,35.230000000000004,,,18.037031,2.7020087,27.914448
2019-01-30,0.09547061,,23.38,34.33,,,17.253344,5.3440824,27.439146
2019-01-31,0.00017066857,,15.57,33.92,,,16.28148,6.133068,27.982744
2019-02-01,0.004933866,,18.16,27.62,,,15.519213,6.3437867,23.192223
2019-02-02,1.9941354,0.0797175,19.05,30.47,185.7038,0.8200000000000001,19.614508,3.1508474,20.843397
2019-02-03,0.061351247,,21.33,33.19,,,17.658033,2.6941473,22.482225
2019-02-04,1.7225162,,20.86,34.13,,,16.879824,3.8917732,21.303701
2019-02-05,3.662563,,18.83,29.59,,,18.892593,4.8707237,19.650736
2019-02-06,48.475994,,19.44,32.42,,,13.692953,3.9078522,23.990187
2019-02-07,0.5725023,,18.79,29.24,,,18.11118,2.159891,18.524015
2019-02-08,3.0656505,,16.4,26.37,,,19.955828,3.6491578,19.794075
2019-02-09,11.010825,,8.68,22.96,,,11.017526,4.9713407,21.274607
2019-02-10,0.0,0.03701679,10.6,23.11,207.81523,0.76,8.34481,1.9952778,26.57305
2019-02-11,0.0,,14.29,26.72,,,9.743927,3.54646,27.056128
2019-02-12,0.0,,10.98,30.05,,,9.046614,6.0066223,27.148315
2019-02-13,0.002755369,,7.77,20.05,,,6.7692432,3.4240677,24.186035
2019-02-14,0.0,,13.87,25.61,,,10.343624,2.4545212,26.744167
2019-02-15,0.0,,13.87,29.32,,,11.73002,3.618139,26.557434
2019-02-16,0.0,,13.38,27.58,,,11.399101,1.7885618,26.21094
2019-02-17,0.040553927,,18.12,31.76,,,12.11954,2.6165352,26.66788
2019-02-18,0.37974182,0.0114755025,18.77,34.75,197.47873,0.72,12.400194,3.9651446,22.382278
2019-02-19,2.3317814,,14.22,28.49,,,7.957748,3.3765213,24.234741
2019-02-20,0.0,,16.12,27.22,,,11.990274,3.6889932,25.085188
2019-02-21,0.0,,15.23,28.95,,,13.79574,4.795871,25.216614
2019-02-22,0.0,,12.18,26.33,,,12.193232,5.1125455,23.589687
2019-02-23,0.0,,13.1,27.05,,,9.615465,5.813094,24.696058
2019-02-24,0.0,,13.46,25.67,,,10.473551,5.077833,23.67122
2019-02-25,0.0,,13.9,28.03,,,12.449686,2.5058122,24.938461
2019-02-26,4.56412e-05,0.0072042644,17.240000000000002,30.28,186.48181,0.66,12.908497,3.2496536,24.83055
2019-02-27,0.008493612,,17.35,30.88,,,12.794185,3.8514533,23.534397
2019-02-28,0.014938999,,16.53,30.06,,,13.960605,2.6350098,24.203823
2019-03-01,0.008545283,,16.77,30.5,,,11.09293,4.0021396,23.982948
2019-03-02,0.003710185,,15.8,29.33,,,13.620798,2.9571996,23.987753
2019-03-03,0.0,,17.1,31.36,,,12.265164,1.3971623,24.480442
2019-03-04,0.0,,19.02,33.24,,,12.358187,2.1771605,24.455942
